No.,txn,taxon,max_age,min_age,FA_lb,FA_ub,LA_lb,LA_ub,No.,taxon,max_age,min_age,,taxon,max_age,min_age
91,36,Columbocystis_ovata,188.2,186.6,456.8,455.2,455.2,452.9,36,Columbocystis_ovata,6.45,4.85,TRUE,Columbocystis_ovata,456.8,455.2
92,37,Comarocystites_punctatus,188.2,184.3,456.8,452.9,451.2,451.15,37,Comarocystites_punctatus,6.45,2.55,TRUE,Comarocystites_punctatus,456.8,452.9
93,38,Comarocystites_tribrachius,185.5,184.3,454.15,452.9,454.15,452.9,38,Comarocystites_tribrachius,3.8,2.55,TRUE,Comarocystites_tribrachius,454.15,452.9
94,39,Globulocystites_cristatus,187.4,186.6,456,455.2,456,455.2,39,Globulocystites_cristatus,5.65,4.85,TRUE,Globulocystites_cristatus,456,455.2
95,40,Globulocystites_rotundatus,188.6,187.4,457.2,456,457.2,456,40,Globulocystites_rotundatus,6.85,5.65,TRUE,Globulocystites_rotundatus,457.2,456
96,41,Implicaticystis_shumardi,184.1,182.6,452.75,451.2,452.15,451.15,41,Implicaticystis_shumardi,1.8,0.8,TRUE,Implicaticystis_shumardi,452.75,451.2
97,42,Implicaticystis_symmetricus,184.1,182.6,452.75,451.2,452.15,451.15,42,Implicaticystis_symmetricus,1.8,0.8,TRUE,Implicaticystis_symmetricus,452.75,451.2
98,43,Malocystites_murchisoni,192.5,190.5,461.1,459.1,458.2,457.2,43,Malocystites_murchisoni,10.75,8.75,TRUE,Malocystites_murchisoni,461.1,459.1
99,44,Oklahomacystis_spissus,187.4,186.6,456,455.2,456,455.2,44,Oklahomacystis_spissus,5.65,4.85,TRUE,Oklahomacystis_spissus,456,455.2
100,45,Oklahomacystis_tribrachiatus,187.4,186.6,456,455.2,456,455.2,45,Oklahomacystis_tribrachiatus,5.65,4.85,TRUE,Oklahomacystis_tribrachiatus,456,455.2
101,46,Oklahomacystis_bibrachiatus,187.4,186.6,456,455.2,456,455.2,46,Oklahomacystis_bibrachiatus,5.65,4.85,TRUE,Oklahomacystis_bibrachiatus,456,455.2
102,47,Oklahomacystis_trigonis,187.4,185.5,456,454.15,456,454.15,47,Oklahomacystis_trigonis,5.65,3.8,TRUE,Oklahomacystis_trigonis,456,454.15
103,48,Platycystites_faberi,188.6,187.4,457.2,456,455.2,452.9,48,Platycystites_faberi,6.85,5.65,TRUE,Platycystites_faberi,457.2,456
104,49,Globulocystites_infundus,187.4,186.6,456,455.2,456,455.2,49,Globulocystites_infundus,5.65,4.85,TRUE,Globulocystites_infundus,456,455.2
